FIPS,State,County,Life Expectancy,education,income,obesity,smoking
01001,Alabama,Autauga,74.800645825,61.378732185,68857.0,38.4,15.4
01003,Alabama,Baldwin,76.580109234,64.847875283,74248.0,36.8,14.7
01005,Alabama,Barbour,72.708991709,44.077431249,45298.0,43.8,21.9
01007,Alabama,Bibb,72.977378514,43.533225284,56025.0,41.4,21.8
01009,Alabama,Blount,72.936172299,52.627112651,64962.0,37.3,19.5
01011,Alabama,Bullock,70.96745637,36.313868613,36204.0,49.4,24.9
01013,Alabama,Butler,71.541917066,41.576649046,44729.0,45.5,20.4
01015,Alabama,Calhoun,70.813154873,54.149051396,51841.0,38.3,18.0
01017,Alabama,Chambers,71.861783224,52.516491571,50390.0,45.4,20.9
01019,Alabama,Cherokee,72.395529183,50.10112153,56400.0,40.2,17.6
01021,Alabama,Chilton,72.70685113,46.126141954,59165.0,36.3,15.5
01023,Alabama,Choctaw,73.06127106,47.62100082,47432.0,45.8,20.8
01025,Alabama,Clarke,69.949889441,41.390021355,50868.0,44.4,20.5
01027,Alabama,Clay,71.851139548,51.806509406,52077.0,39.6,21.5
01029,Alabama,Cleburne,72.100332749,50.549450549,59526.0,39.4,20.8
01031,Alabama,Coffee,74.199504456,61.432349367,64737.0,34.1,14.6
01033,Alabama,Colbert,73.022425449,58.023280726,57770.0,40.9,18.8
01035,Alabama,Conecuh,68.961085989,38.045827929,46702.0,44.7,19.8
01037,Alabama,Coosa,72.230535629,40.184645287,59736.0,42.8,20.3
01039,Alabama,Covington,70.640113875,50.717589847,50119.0,44.6,18.9
01041,Alabama,Crenshaw,70.418927021,47.789685198,49128.0,40.3,20.0
01043,Alabama,Cullman,72.853788329,59.272176587,61231.0,39.7,18.6
01045,Alabama,Dale,73.008730369,58.691285538,54697.0,44.3,18.5
01047,Alabama,Dallas,67.706493274,57.383665717,39013.0,50.5,19.7
01049,Alabama,DeKalb,72.357615551,50.092603311,50614.0,38.9,22.5
01051,Alabama,Elmore,74.60542113,53.256385683,73125.0,36.4,15.8
01053,Alabama,Escambia,70.098328137,36.834208552,50333.0,43.5,21.7
01055,Alabama,Etowah,70.243289319,52.982569661,52504.0,41.3,18.8
01057,Alabama,Fayette,70.679483092,50.388026608,49235.0,39.2,21.8
01059,Alabama,Franklin,71.506373608,42.437923251,49682.0,39.6,20.3
01061,Alabama,Geneva,70.579638414,48.304247613,50006.0,38.2,18.0
01063,Alabama,Greene,70.558950817,35.313315927,34619.0,51.0,23.9
01065,Alabama,Hale,69.946175937,51.167602719,42380.0,44.4,18.6
01067,Alabama,Henry,74.216601454,44.725632674,55598.0,38.3,21.5
01069,Alabama,Houston,73.542174929,57.677571471,59412.0,37.5,18.8
01071,Alabama,Jackson,70.899564188,50.459088324,51479.0,38.6,20.7
01073,Alabama,Jefferson,72.43208331,69.143181055,64726.0,39.7,15.0
